id fid mid sex
000009073000300 0 0 1
276000911043667 276000912971290 276000910917864 1
276000912851233 276000809706945 276000924420864 1
276000912971290 276000925978871 276000926092994 1
276000914861999 276000912851233 276000914439403 1
276000915390832 276000912851233 276000915286827 2
276000915480121 276000911331078 276000915390832 1
276000924420864 276000979317838 276000979339512 2
276000925781490 276000979317838 276000979116973 2
276000925978871 276000929189864 276000925781490 1
276000934492505 276000914861999 276000911542005 1
276000935101102 276000911043667 276000915496158 1
276000937161264 276000915480121 276000931821775 1
276000940797835 276000934492505 276000936904661 2
276000942342667 276000937161264 276000937703460 2
276000950288532 276000974566582 276000942342667 2
276000970388123 000009073000300 0 1
276000974566582 276000935101102 276000940797835 1
276000979317838 276000970388123 276000978575227 1
